,date,open,close,high,low,volume,code
1677,2018-11-30,484.468,492.468,496.358,480.468,49010.0,600519
1678,2018-12-03,516.468,528.668,532.468,512.238,83414.0,600519
1679,2018-12-04,530.458,529.698,531.728,522.468,31473.0,600519
1680,2018-12-05,524.968,537.568,543.968,522.468,41588.0,600519
1681,2018-12-06,527.468,519.268,533.448,517.828,37758.0,600519
1682,2018-12-07,523.068,514.468,526.328,512.168,26841.0,600519
1683,2018-12-10,503.468,504.698,514.968,501.648,24640.0,600519
1684,2018-12-11,504.468,510.458,514.018,504.468,16316.0,600519
1685,2018-12-12,516.258,516.468,516.668,510.268,19921.0,600519
1686,2018-12-13,517.468,529.218,534.348,517.068,40399.0,600519
1687,2018-12-14,525.478,520.428,527.268,519.468,24554.0,600519
1688,2018-12-17,520.038,517.988,523.438,512.478,24895.0,600519
1689,2018-12-18,513.348,518.408,519.008,512.468,19222.0,600519
1690,2018-12-19,516.468,505.268,518.458,503.498,25715.0,600519
1691,2018-12-20,503.688,501.968,508.968,496.358,26940.0,600519
1692,2018-12-21,498.468,494.878,500.918,489.678,30640.0,600519
1693,2018-12-24,490.968,495.468,498.378,485.468,19109.0,600519
1694,2018-12-25,489.688,493.258,494.968,481.078,26592.0,600519
1695,2018-12-26,491.278,487.548,495.868,485.468,17866.0,600519
1696,2018-12-27,497.468,490.468,499.318,489.688,29493.0,600519
1697,2018-12-28,490.768,517.478,523.868,487.468,63678.0,600519
1698,2019-01-02,537.448,526.448,539.468,522.478,62286.0,600519
1699,2019-01-03,527.438,517.468,529.128,513.268,30977.0,600519
1700,2019-01-04,514.748,529.468,535.138,509.488,37683.0,600519
1701,2019-01-07,535.468,532.958,539.468,529.688,34750.0,600519
1702,2019-01-08,532.968,532.258,539.468,527.748,28838.0,600519
1703,2019-01-09,537.458,543.588,553.628,536.508,49892.0,600519
1704,2019-01-10,544.598,546.238,552.348,537.718,29043.0,600519
1705,2019-01-11,552.468,563.348,564.468,546.218,38884.0,600519
1706,2019-01-14,560.468,552.068,563.358,549.018,25648.0,600519
1707,2019-01-15,555.328,587.448,588.968,552.468,55764.0,600519
1708,2019-01-16,585.468,588.568,593.118,581.068,42083.0,600519
1709,2019-01-17,590.468,586.718,597.168,583.268,30284.0,600519
1710,2019-01-18,592.468,611.078,617.668,588.968,68609.0,600519
1711,2019-01-21,617.468,614.448,626.348,609.348,47051.0,600519
1712,2019-01-22,613.468,598.468,613.468,592.688,42122.0,600519
1713,2019-01-23,594.688,593.128,601.968,590.598,33624.0,600519
1714,2019-01-24,597.768,599.968,605.298,592.148,29155.0,600519
